,AÑO,Estado,RD_M,RD_215_M,EVDI_M,EVDV_M,EV_215_I_M,EV_215_V_M,DESV_M,DESV_215_M,CDNB_M,CDNB_215_M
0,2015,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0
32,2016,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0
64,2017,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0
96,2018,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0
33,2016,BAJA CALIFORNIA,1,0,0,0,0,0,0,0,1,0
1,2015,BAJA CALIFORNIA,4,0,0,0,0,0,0,0,4,0
65,2017,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0
97,2018,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0
2,2015,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0
34,2016,BAJA CALIFORNIA SUR,1,0,0,1,0,0,0,0,1,0
66,2017,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0
98,2018,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0
35,2016,CAMPECHE,0,0,0,0,0,0,0,0,0,0
67,2017,CAMPECHE,0,0,0,0,0,0,0,0,0,0
3,2015,CAMPECHE,0,0,0,0,0,0,0,0,0,0
99,2018,CAMPECHE,0,0,0,0,0,0,0,0,0,0
36,2016,CHIAPAS,1,0,0,0,0,0,0,0,0,0
68,2017,CHIAPAS,0,3,0,0,0,1,0,0,0,3
4,2015,CHIAPAS,1,0,0,0,0,0,0,0,1,0
100,2018,CHIAPAS,0,0,0,0,0,0,0,0,0,0
101,2018,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0
37,2016,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0
5,2015,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0
69,2017,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0
38,2016,CIUDAD DE MÉXICO,83,2,2,15,0,0,0,0,17,0
102,2018,CIUDAD DE MÉXICO,9,2,0,2,0,0,0,0,4,0
70,2017,CIUDAD DE MÉXICO,84,2,1,4,0,0,0,0,20,0
6,2015,CIUDAD DE MÉXICO,223,3,5,38,1,0,0,0,115,0
39,2016,COAHUILA DE ZARAGOZA,2,0,0,0,0,0,0,0,2,0
71,2017,COAHUILA DE ZARAGOZA,0,0,0,0,0,0,0,0,0,0
103,2018,COAHUILA DE ZARAGOZA,0,0,0,0,0,0,0,0,0,0
7,2015,COAHUILA DE ZARAGOZA,1,2,0,0,0,0,0,0,1,2
8,2015,COLIMA,0,0,0,0,0,0,0,0,0,0
104,2018,COLIMA,0,1,0,0,1,0,0,0,0,1
72,2017,COLIMA,3,0,0,0,0,0,0,0,3,0
40,2016,COLIMA,0,0,0,0,0,0,0,0,0,0
105,2018,DURANGO,0,0,0,0,0,0,0,0,0,0
73,2017,DURANGO,0,1,0,0,0,0,0,0,0,1
41,2016,DURANGO,1,0,0,0,0,0,0,0,1,0
9,2015,DURANGO,0,0,0,0,0,0,0,0,0,0
42,2016,GUANAJUATO,1,0,0,1,0,0,0,0,1,0
74,2017,GUANAJUATO,0,0,0,0,0,0,0,0,0,0
10,2015,GUANAJUATO,0,0,0,0,0,0,0,0,0,0
106,2018,GUANAJUATO,0,0,0,0,0,0,0,0,0,0
75,2017,GUERRERO,0,0,0,0,0,0,0,0,0,0
107,2018,GUERRERO,0,0,0,0,0,0,0,0,0,0
11,2015,GUERRERO,1,0,1,0,0,0,0,0,1,0
43,2016,GUERRERO,1,2,0,0,0,0,0,0,0,1
76,2017,HIDALGO,0,0,0,0,0,0,0,0,0,0
12,2015,HIDALGO,0,0,0,0,0,0,0,0,0,0
108,2018,HIDALGO,0,0,0,0,0,0,0,0,0,0
44,2016,HIDALGO,0,0,0,0,0,0,0,0,0,0
13,2015,JALISCO,0,0,0,0,0,0,0,0,0,0
109,2018,JALISCO,0,0,0,0,0,0,0,0,0,0
77,2017,JALISCO,0,0,0,0,0,0,0,0,0,0
45,2016,JALISCO,1,0,0,0,0,0,0,0,1,0
14,2015,MICHOACÁN DE OCAMPO,0,2,0,0,0,0,0,0,0,2
110,2018,MICHOACÁN DE OCAMPO,0,0,0,0,0,0,0,0,0,0
78,2017,MICHOACÁN DE OCAMPO,1,0,0,1,0,0,0,0,0,0
46,2016,MICHOACÁN DE OCAMPO,0,0,0,0,0,0,0,0,0,0
79,2017,MORELOS,0,0,0,0,0,0,0,0,0,0
47,2016,MORELOS,0,0,0,0,0,0,0,0,0,0
111,2018,MORELOS,0,0,0,0,0,0,0,0,0,0
15,2015,MORELOS,0,0,0,0,0,0,0,0,0,0
112,2018,MÉXICO,0,0,0,0,0,0,0,0,0,0
48,2016,MÉXICO,3,3,0,0,3,0,0,0,2,0
80,2017,MÉXICO,3,0,0,0,0,0,0,0,2,0
16,2015,MÉXICO,0,0,0,0,0,0,0,0,0,0
81,2017,NAYARIT,0,1,0,0,0,0,0,0,0,1
17,2015,NAYARIT,0,0,0,0,0,0,0,0,0,0
49,2016,NAYARIT,0,1,0,0,0,1,0,0,0,1
113,2018,NAYARIT,1,0,0,0,0,0,0,0,1,0
18,2015,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0
82,2017,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0
114,2018,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0
50,2016,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0
19,2015,OAXACA,1,1,0,0,0,1,0,0,0,1
51,2016,OAXACA,0,4,0,0,0,0,0,0,0,4
115,2018,OAXACA,0,0,0,0,0,0,0,0,0,0
83,2017,OAXACA,8,0,0,0,0,0,0,0,0,0
116,2018,PUEBLA,0,0,0,0,0,0,0,0,0,0
84,2017,PUEBLA,0,0,0,0,0,0,0,0,0,0
20,2015,PUEBLA,0,0,0,0,0,0,0,0,0,0
52,2016,PUEBLA,1,0,0,0,0,0,0,0,0,0
53,2016,QUERÉTARO,0,0,0,0,0,0,0,0,0,0
117,2018,QUERÉTARO,0,0,0,0,0,0,0,0,0,0
21,2015,QUERÉTARO,0,0,0,0,0,0,0,0,0,0
85,2017,QUERÉTARO,0,0,0,0,0,0,0,0,0,0
118,2018,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0
22,2015,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0
54,2016,QUINTANA ROO,1,0,1,0,0,0,0,0,0,0
86,2017,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0
23,2015,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0
55,2016,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0
87,2017,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0
119,2018,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0
56,2016,SINALOA,2,2,0,0,0,0,0,0,2,2
88,2017,SINALOA,0,0,0,0,0,0,0,0,0,0
24,2015,SINALOA,1,3,0,0,0,1,0,0,1,3
120,2018,SINALOA,0,0,0,0,0,0,0,0,0,0
57,2016,SONORA,4,0,0,0,0,0,0,0,1,0
89,2017,SONORA,0,0,0,0,0,0,0,0,0,0
25,2015,SONORA,0,0,0,0,0,0,0,0,0,0
121,2018,SONORA,0,0,0,0,0,0,0,0,0,0
26,2015,TABASCO,0,0,0,0,0,0,0,0,0,0
58,2016,TABASCO,0,0,0,0,0,0,0,0,0,0
122,2018,TABASCO,0,0,0,0,0,0,0,0,0,0
90,2017,TABASCO,2,0,0,0,0,0,0,0,2,0
123,2018,TAMAULIPAS,1,2,0,0,0,0,0,0,1,0
91,2017,TAMAULIPAS,2,0,1,1,0,0,0,0,1,0
59,2016,TAMAULIPAS,5,1,0,1,0,0,0,0,5,0
27,2015,TAMAULIPAS,8,1,0,0,0,0,0,0,7,1
92,2017,TLAXCALA,1,0,0,1,0,0,0,0,0,0
60,2016,TLAXCALA,1,0,0,0,0,0,0,0,1,0
28,2015,TLAXCALA,0,2,0,0,0,0,0,0,0,2
124,2018,TLAXCALA,0,1,0,0,1,0,0,0,0,1
93,2017,VERACRUZ DE IGNACIO DE LA LLAVE,1,0,0,0,0,0,0,0,1,0
125,2018,VERACRUZ DE IGNACIO DE LA LLAVE,0,1,0,0,1,0,0,0,0,1
29,2015,VERACRUZ DE IGNACIO DE LA LLAVE,1,0,0,0,0,0,0,0,0,0
61,2016,VERACRUZ DE IGNACIO DE LA LLAVE,0,0,0,0,0,0,0,0,0,0
94,2017,YUCATÁN,0,0,0,0,0,0,0,0,0,0
126,2018,YUCATÁN,0,0,0,0,0,0,0,0,0,0
62,2016,YUCATÁN,0,0,0,0,0,0,0,0,0,0
30,2015,YUCATÁN,0,0,0,0,0,0,0,0,0,0
63,2016,ZACATECAS,0,0,0,0,0,0,0,0,0,0
31,2015,ZACATECAS,0,0,0,0,0,0,0,0,0,0
95,2017,ZACATECAS,0,0,0,0,0,0,0,0,0,0
127,2018,ZACATECAS,0,0,0,0,0,0,0,0,0,0
